42.3631 -71.065, all phase plumbing
64.856 -147.809, wok n' roll express
64.8488 -147.811, wolf run restaurant
64.856 -147.809, timothy j woller dds
64.8331 -147.647, wolverine supply
64.8547 -147.754, women & children ctr
64.8151 -147.707, women's center
64.8516 -147.709, women's health midwifery svc
64.8411 -147.718, brett m wood
64.8818 -147.638, woodcraft unlimited
64.8389 -147.87, woodriver elementary school
64.8596 -147.73, woodway
64.9234 -147.744, work in progress
64.9271 -147.716, work in progress
64.8725 -147.59, work man
60.6331 -151.163, gamas designs
60.5601 -151.186, nordic log homes
60.6331 -151.163, hall quality builders inc
60.5751 -151.311, agrium us inc
60.5681 -151.27, online systems
60.5585 -151.252, j c penny catalog
60.6331 -151.163, deans peninsula printing
60.6331 -151.163, arctic printing
60.6331 -151.163, peninsula clarion
60.5602 -151.244, printers ink
60.6331 -151.163, lowestein construction
60.6331 -151.163, redoubt/bering pcf joint ventr
60.5091 -151.146, quality asphalt
60.6331 -151.163, commercial auto repr eqp svcs
60.5571 -151.062, peninsula construction inc
60.7016 -151.318, troy built construction
60.6331 -151.163, ace
60.6331 -151.163, brown construction company
60.5677 -151.204, scotts construction
60.6331 -151.163, kenneth r puch construction
60.6671 -151.33, veal construction
60.6331 -151.163, tng builders
60.5007 -151.276, dan sterchi construction
60.5579 -151.058, c & o builders
60.6331 -151.163, alaska family salmon llc
60.6331 -151.163, p a s inc
60.6331 -151.163, unocal corporation
60.5552 -151.25, 2go
60.5601 -151.287, 2go
60.6379 -151.351, 2go
60.6331 -151.163, m a p crude petroleum & natura
60.7411 -151.302, m a p crude petroleum & naturl
60.6331 -151.163, shell
60.6331 -151.163, tesoro
60.5011 -151.275, trail lakes hatchery
61.5724 -149.445, kathleen c barron
61.6141 -149.457, barton electric
61.5641 -149.352, baxter inc
61.6041 -149.641, bear
61.5701 -149.497, bear air
61.6253 -149.432, bear paw masonry
61.5821 -149.438, bears den restaurant
61.7321 -150.12, beautiful homes by jeremy
61.5531 -149.651, becky's kettle korn
61.5368 -149.457, bee teddybear ranch
61.5846 -149.352, beehive beauty shop
61.5841 -149.466, bench transmission & gear
61.5812 -149.448, benefits consulting svc
61.6202 -149.381, berg development inc
61.5595 -149.514, berg masonry
61.5858 -149.493, berg roofing
61.7321 -150.12, beryozava elementary school
61.5257 -149.496, besse engineering
61.5811 -149.433, best in the land realty & ins
61.5775 -149.483, best western inn
61.5531 -149.651, better building concepts
61.5895 -149.406, natalie beyeler do
61.6141 -149.457, big bad wolf custom builders
61.5811 -149.45, big boys toys storage
61.5811 -149.45, big lake baptist church
61.6141 -149.457, big lake lions club
61.5671 -149.314, big lake polaris
61.6081 -149.3, big valley trucking
61.5411 -149.588, birch grove studios
61.3981 -149.843, birch harbor baptist church
61.5901 -149.444, birches
61.6141 -149.457, bit o lab kennels
61.5855 -149.327, blaine's picture framing
61.5952 -149.377, blind store
61.6091 -149.77, blizzard plows of alaska
61.5777 -149.412, blockbuster video
61.1991 -149.903, foster grandparent programs
61.2174 -149.904, foster pepper rubini & reeves
61.1878 -149.914, fountain chevron
61.2158 -149.881, fountains condominium
61.1991 -149.903, four a's
61.1811 -149.896, four dam pool power agency
61.2171 -149.771, four seasons
61.0893 -149.811, four seasons masonry
61.1261 -149.948, four seasons roofing
61.1088 -149.84, four seasons sunrooms
61.2031 -149.749, four seasons travel
61.1282 -149.847, four sons construction
61.1201 -149.89, four waters aquatics
61.2001 -149.867, fourth & feather product
61.2188 -149.896, fourth avenue barber shop
61.2183 -149.894, fourth avenue trolley tours
61.1836 -149.796, fowler & assoc
61.2141 -149.888, fowler agency
61.1088 -149.783, fowler gun & machine shop
61.1901 -149.892, michael fowler
61.2031 -149.749, foxie roxies
61.1536 -149.884, foxwood condominiums
61.1381 -149.844, frame cache
61.1938 -149.878, frame of mind
61.1883 -149.896, frame workshop & gallery
61.0939 -149.818, framemaker
61.1955 -149.878, frames etc
61.1883 -149.894, frameworks
61.199 -149.9, framewright
61.1851 -149.934, fran's place bed & breakfast
61.1973 -149.748, francis gallela & assoc
61.1715 -149.9, frank flavin photography
61.2201 -149.895, frank s kozoil law offices
61.1101 -149.857, a & g enterprises inc
61.1101 -149.857, c & v backhoe service
61.1101 -149.857, s & a enterprises
61.1101 -149.857, x alaska inc
61.1101 -149.857, mc kinley landscaping inc
61.1101 -149.857, cats eye excavating inc
61.1101 -149.857, kincaid & son construction co
61.1101 -149.857, wood & beek contracting inc
61.1101 -149.857, fish alaska publication llc
61.1101 -149.857, instructional resources co
61.1101 -149.857, alpha fur dressing inc
61.1101 -149.857, alaskan quality log homes
61.1045 -149.859, titan enterprises
61.131 -149.878, speedy auto glass
61.1024 -149.853, kenny withrow
61.1097 -149.881, alaskan paving & cnstr co
61.1314 -149.862, advanced industries
61.117 -149.879, c cohn fur processors
61.145 -149.878, alaskamen magazine inc
61.1215 -149.926, wood n things
61.1426 -149.877, tweedie douglas marketing
61.1377 -149.864, grizzly advertising spc
61.1444 -149.867, lees embroidery
61.126 -149.934, labau frest rsurces consulting
61.1407 -149.887, m&l landscaping
61.1444 -149.876, bridgettes dog grooming
61.1074 -149.862, alpine animalhospital
61.107 -149.862, evergreen landscaping inc
61.1053 -149.86, great alaska lawn and ldscpg
61.1124 -149.862, karin e schmidt dvm
61.1377 -149.864, pet xpress/the dog wash
61.1293 -149.862, amd enterprises
61.1426 -149.897, chaluka corp
64.8421 -147.733, workers' compensation conslnt
64.8579 -147.77, works creative catering
64.8411 -147.718, world eskimo-indian olympics
64.8429 -147.716, world plus inc
64.8523 -147.769, world wide movers inc
64.8081 -147.851, wright air svc
64.9401 -147.402, wsa alaska
64.9039 -147.623, wsi certified web solutions
64.8132 -147.7, wtw trucking
64.8452 -147.714, wyatt enterprises
64.8916 -147.563, wynfromere farms
64.8132 -147.731, x-ray motors
64.8495 -147.716, xavier hall
64.8371 -147.716, xentrix dezinz
64.8471 -147.706, xerox corp
64.8169 -147.779, xral laboratories
64.8438 -147.901, yak estates apartments
64.843 -147.722, leslie yamamoto
64.8421 -147.686, dale yoder
64.8372 -147.809, you're special flowers & gifts
64.8465 -147.74, young learners preschool
64.8199 -147.737, young life
64.8191 -147.696, young's cleaning svc
64.8127 -147.745, young's gear inc
64.8344 -147.762, youth facility juvenile prbtn
64.8419 -147.722, youth sports bingo
64.8926 -147.465, youth with a mission
64.824 -147.899, yukon air svc
64.8296 -147.848, yukon koyukuk school district
64.842 -147.721, yukon quest cache
64.8455 -147.696, yukon quest intl
64.8448 -147.714, yukon river intl tribal wtrshd
64.8331 -147.812, yukon services
60.5011 -151.275, tutka hatchery
60.6331 -151.163, eklutna salmon hatchery
60.5555 -151.249, unocal corporation
60.6331 -151.163, industrial refuse
60.564 -151.242, industrial instrument service
60.6331 -151.163, alaska pipe rcvery specialists
60.6331 -151.163, arc tech services
60.5643 -151.195, cornerstone construction
60.6331 -151.163, holt construction
60.6742 -151.213, alaskan new home builders
60.6331 -151.163, jc bookey excavating
60.6331 -151.163, lalasa kennels
60.5619 -151.277, herb fireweed garden & gifts
60.5559 -151.262, groomingdales
60.6331 -151.163, moores landscaping
60.5569 -151.059, d&n landscaping
60.6331 -151.163, fv cape spencer
60.6331 -151.163, efta commercial fishing
60.6331 -151.163, evergreen alaska inc
54.9801 -162.099, peter pan seafoods inc
54.9801 -162.099, dream girl owners fv mac
58.7051 -156.633, king salmon ground service
58.7051 -156.633, odw & son construction
58.7051 -156.633, badger electric
58.7051 -156.633, harris electric inc
58.7051 -156.633, ram rentals
58.7051 -156.633, national park svcs dept intr
58.7051 -156.633, diane woods greenhouse
58.7051 -156.633, lone wolf construction
58.7051 -156.633, iliamna lake contractors llc
57.8591 -152.679, custom builders
57.7891 -152.397, kiewit pacific co
57.8591 -152.679, l g schneider & sons inc
57.8591 -152.679, f & r inc
57.8591 -152.679, majdic & son inc
61.5812 -149.436, blockbuster video
61.5825 -149.429, blood bank of alaska inc
61.6104 -149.425, bluestreak enterprises
61.6106 -149.392, bob mann appraisal svc
61.5803 -149.534, bob'sleds of alaska
61.5856 -149.316, body's in motion dance apparel
61.5887 -149.407, bogard dental
61.6141 -149.449, bogard mail svc
61.6144 -149.326, bogard mail svc
61.6141 -149.457, bogard road baptist
61.6141 -149.457, jack bohnert
61.6141 -149.457, bolinder excavating
61.6141 -149.457, bonny masonry
61.5824 -149.46, books inc
61.5531 -149.651, bootleg electric
61.6091 -149.77, borealis beach club
61.6141 -149.457, borealis property svc
61.7321 -150.12, borough transfer site
61.6118 -149.444, bowker mechanical
61.5825 -149.429, boyer bowers & tegeler
61.5811 -149.43, boyer bowers & tegeler
61.6006 -149.357, boys & girls clubs
61.7321 -150.12, brain garden
61.6141 -149.457, branching out
61.5867 -149.43, brett memorial ice arena
61.5869 -149.428, brett memorial ice arena
61.5776 -149.411, brew bakers espresso
61.6141 -149.457, bridgestone bookkeeping svc
61.6141 -149.457, brite learning materials
61.5822 -149.463, brown jug inc
61.5816 -149.452, brown's electrical supply
61.6141 -149.457, brown's plumbing
61.6141 -149.457, browngoetz consulting
61.5765 -149.407, bruce's street & skate
61.5788 -149.483, bruno's concrete
61.5801 -149.461, bruns concrete & construction
61.1901 -149.892, franke enterprises
61.1983 -149.88, franklin & assoc
61.2161 -149.876, franks concrete & masonry
61.2174 -149.888, fraternal order of ak troopers
61.1662 -149.845, fraternal order of eagles
61.1879 -149.886, fraud control unit
61.223 -149.872, fraud control unit
61.1901 -149.892, frawner corp
61.159 -149.858, fred astaire dance studio
61.1377 -149.864, fred astaire dance studio
61.1935 -149.804, fred barbee & assoc
61.2174 -149.888, fred meyer jewelers
61.1444 -149.867, fred meyer jewelers
61.195 -149.864, fred meyer one stop shopping
61.1375 -149.916, fred meyer one stop shopping
61.1373 -149.839, fred meyer one stop shopping
61.2099 -149.737, fred meyer one stop shopping
61.1946 -149.941, fred walatka & assoc
61.1973 -149.877, fred's bail bonding
61.1541 -149.958, fred's towing & recovery
61.2188 -149.896, frederick h hahn law offices
61.2171 -149.795, free methodist church
61.1541 -149.958, freedom refuse
61.1973 -149.877, freedom ventures trust
61.2148 -149.9, freelance legal secretary
61.2099 -149.762, freight management svc
61.163 -149.859, freightliner of alaska
61.2239 -149.823, freightliner of alaska
61.1896 -149.91, fremont transfer hair est
61.1923 -149.886, french bean
61.1541 -149.958, french consulate
61.1935 -149.905, french oven
61.1854 -149.928, french's construction
61.1152 -149.914, fresh & clean janitorial svc
61.1387 -149.915, wilson riley k dvm vet
61.1387 -149.915, james e gaarder dvm dacvo
61.1145 -149.876, d&t enterprises
61.1421 -149.9, dimond greenhouses inc
61.1053 -149.859, alaska winter gardens
61.1124 -149.862, handler corp
61.1441 -149.878, kitchels alaska guide service
61.1243 -149.927, romo equipment co
61.1337 -149.878, brooks range supply inc
61.1209 -149.884, roger hickel contracting
61.1084 -149.861, f & f construction
61.1426 -149.878, acme fence co inc
61.1078 -149.897, silvertip construction
61.1139 -149.867, terra foundations inc
61.1154 -149.937, ironwood inc
61.1148 -149.867, goodfellow bros inc
61.1186 -149.886, checkis plumbing & heating in
61.1236 -149.875, pile
61.1357 -149.876, operations maintenance fcilty
61.1305 -149.867, pacific asphalt inc
61.1183 -149.876, wilder environmental
61.1044 -149.848, barrys quality construction
61.1335 -149.911, aurora borealis construction
61.1364 -149.913, st rose assisted living homes
61.1352 -149.924, johnson brothers construction
61.1044 -149.849, allen wynn contracting
61.1404 -149.879, andrews construction
61.111 -149.885, harvey enterprises
61.1438 -149.875, taylored restoration
61.1079 -149.855, majestic home improvements
61.1129 -149.883, horton construction
64.9401 -147.402, yukon star intl inc
64.8375 -147.722, yukon title
64.8351 -147.821, yukon-koyukuk school district
64.8506 -147.704, yume anime
64.8331 -147.647, yuns co inc
64.9233 -147.879, z-woodworkers
64.8507 -147.702, zales jewelers
64.8221 -147.565, zba inc
64.9401 -147.402, zep chemicals
64.8406 -147.717, zigga enterprises
64.8275 -147.786, zion lutheran church
64.8383 -147.867, zonge engineering & research
64.8516 -147.709, zorba's greek restaurant
64.8462 -147.813, dean zuelsdorf
61.2539 -149.7, joint regional environmental
61.2534 -149.701, king salmon barber shop
61.2611 -149.666, medina disney
61.2431 -149.542, moose run golf course
61.253 -149.704, naf contracting
59.6461 -151.509, ernie's services
54.7171 -163.346, peter pan seafoods inc
59.6461 -151.509, kachemak naturalists
59.7961 -151.072, kachemak selo school
61.2534 -149.701, sato travel
61.2611 -149.666, sato travel
59.6963 -151.362, pacific sun charters
61.2534 -149.701, tekstar inc
61.2611 -149.666, university of alaska
61.2502 -149.686, ursa major elementary school
61.2469 -149.69, ursa minor elementary school
61.2521 -149.778, us air national guard
61.2611 -149.666, us army corps of engineers
61.2521 -149.778, us army national guard
61.2611 -149.666, us army recruiting
61.2611 -149.666, us fort richardson locator
57.7973 -152.393, ross maritime
60.3311 -151.284, morgan ike drywall
60.3311 -151.284, arnies preferred painting
60.3311 -151.284, robert knobf
60.3311 -151.284, northern marine service
60.3311 -151.284, alaska doll and ornament
60.3311 -151.284, memorable moments
60.3311 -151.284, fowlers dirt work
60.4241 -151.288, r & r fish co
60.5554 -151.261, divison of epperheimer
60.6331 -151.163, four seasons fence co
60.6331 -151.163, discount construction
60.6331 -151.163, hensley excavating
60.5678 -151.188, property design llc
60.6331 -151.163, snug harbor seafoods inc
60.6331 -151.163, legendary woodworks
60.6331 -151.163, marathon oil
60.6331 -151.163, veco alaska inc
57.8591 -152.679, coplee international inc
57.8188 -152.393, nathan mudd
57.8591 -152.679, patricia sue
57.8591 -152.679, incentive fisheries llc
57.8036 -152.376, great & small animal care
57.8119 -152.36, ada berry dvm
57.8016 -152.381, joanies dog grooming
57.7941 -152.385, petpourri
57.8591 -152.679, koncor forest products company
57.8591 -152.679, leisnoi inc
57.7921 -152.385, lucky lady
57.8591 -152.679, m/v defiant inc
57.8591 -152.679, kc fisheries inc
57.8591 -152.679, pelagic resources inc
57.8591 -152.679, peggy jo inc
57.8591 -152.679, vanguard partnership
61.5823 -149.462, buck buck buck store
